ID,Question,Intent,Tables,Columns,Filters,Joins,Raw_JSON
26,"Get customers with sales rep names","Match customer names to the first and last name of their sales rep.","customers, employees","customerName, firstName, lastName","None","customers.salesRepEmployeeNumber = employees.employeeNumber","{""intent"":""Match customer names to the first and last name of their sales rep."",""tables"":""customers, employees"",""columns"":""customerName, firstName, lastName"",""filters"":""None"",""joins"":""customers.salesRepEmployeeNumber = employees.employeeNumber""}"
27,"Get orders with customer city","Find out which city each order came from.","orders, customers","orderNumber, city","None","orders.customerNumber = customers.customerNumber","{""intent"":""Find out which city each order came from."",""tables"":""orders, customers"",""columns"":""orderNumber, city"",""filters"":""None"",""joins"":""orders.customerNumber = customers.customerNumber""}"
28,"Get employees and their manager","List employees and the first name of the manager they report to.","employees","firstName, manager (firstName alias)","None","employees.reportsTo = manager.employeeNumber (LEFT JOIN)","{""intent"":""List employees and the first name of the manager they report to."",""tables"":""employees"",""columns"":""firstName, manager (firstName alias)"",""filters"":""None"",""joins"":""employees.reportsTo = manager.employeeNumber (LEFT JOIN)""}"
29,"Get orderdetails with product vendor","Match order numbers with the vendor who supplies the product.","orderdetails, products","orderNumber, productVendor","None","orderdetails.productCode = products.productCode","{""intent"":""Match order numbers with the vendor who supplies the product."",""tables"":""orderdetails, products"",""columns"":""orderNumber, productVendor"",""filters"":""None"",""joins"":""orderdetails.productCode = products.productCode""}"
30,"Get payments with customer country","Match payments to the country of the customer.","payments, customers","amount, country","None","payments.customerNumber = customers.customerNumber","{""intent"":""Match payments to the country of the customer."",""tables"":""payments, customers"",""columns"":""amount, country"",""filters"":""None"",""joins"":""payments.customerNumber = customers.customerNumber""}"
31,"Count customers per country","Count how many customers are in each country.","customers","country, COUNT(*)","GROUP BY country","None","{""intent"":""Count how many customers are in each country."",""tables"":""customers"",""columns"":""country, COUNT(*)"",""filters"":""GROUP BY country"",""joins"":""None""}"
32,"Total payments per customer","Find the total amount paid by each customer.","payments","customerNumber, SUM(amount)","GROUP BY customerNumber","None","{""intent"":""Find the total amount paid by each customer."",""tables"":""payments"",""columns"":""customerNumber, SUM(amount)"",""filters"":""GROUP BY customerNumber"",""joins"":""None""}"
33,"Number of orders per status","Count how many orders there are for each status.","orders","status, COUNT(*)","GROUP BY status","None","{""intent"":""Count how many orders there are for each status."",""tables"":""orders"",""columns"":""status, COUNT(*)"",""filters"":""GROUP BY status"",""joins"":""None""}"
34,"Products per product line","Count the number of products in each product line.","products","productLine, COUNT(*)","GROUP BY productLine","None","{""intent"":""Count the number of products in each product line."",""tables"":""products"",""columns"":""productLine, COUNT(*)"",""filters"":""GROUP BY productLine"",""joins"":""None""}"
35,"Employees per office","Count how many employees work in each office.","employees","officeCode, COUNT(*)","GROUP BY officeCode","None","{""intent"":""Count how many employees work in each office."",""tables"":""employees"",""columns"":""officeCode, COUNT(*)"",""filters"":""GROUP BY officeCode"",""joins"":""None""}"
36,"Total stock per product vendor","Find the total quantity in stock for each vendor.","products","productVendor, SUM(quantityInStock)","GROUP BY productVendor","None","{""intent"":""Find the total quantity in stock for each vendor."",""tables"":""products"",""columns"":""productVendor, SUM(quantityInStock)"",""filters"":""GROUP BY productVendor"",""joins"":""None""}"
37,"Average buy price per product line","Calculate the average buy price for each product line.","products","productLine, AVG(buyPrice)","GROUP BY productLine","None","{""intent"":""Calculate the average buy price for each product line."",""tables"":""products"",""columns"":""productLine, AVG(buyPrice)"",""filters"":""GROUP BY productLine"",""joins"":""None""}"
38,"Orders per customer","Count how many orders each customer has made.","orders","customerNumber, COUNT(*)","GROUP BY customerNumber","None","{""intent"":""Count how many orders each customer has made."",""tables"":""orders"",""columns"":""customerNumber, COUNT(*)"",""filters"":""GROUP BY customerNumber"",""joins"":""None""}"
39,"Max MSRP per product line","Find the most expensive MSRP for each product line.","products","productLine, MAX(MSRP)","GROUP BY productLine","None","{""intent"":""Find the most expensive MSRP for each product line."",""tables"":""products"",""columns"":""productLine, MAX(MSRP)"",""filters"":""GROUP BY productLine"",""joins"":""None""}"
40,"Min buy price per vendor","Find the cheapest buy price for each vendor.","products","productVendor, MIN(buyPrice)","GROUP BY productVendor","None","{""intent"":""Find the cheapest buy price for each vendor."",""tables"":""products"",""columns"":""productVendor, MIN(buyPrice)"",""filters"":""GROUP BY productVendor"",""joins"":""None""}"
41,"Total number of customers","Count the total number of customers.","customers","COUNT(*)","None","None","{""intent"":""Count the total number of customers."",""tables"":""customers"",""columns"":""COUNT(*)"",""filters"":""None"",""joins"":""None""}"
42,"Total number of products","Count the total number of products.","products","COUNT(*)","None","None","{""intent"":""Count the total number of products."",""tables"":""products"",""columns"":""COUNT(*)"",""filters"":""None"",""joins"":""None""}"
43,"Total revenue from payments","Sum up all the payments ever made.","payments","SUM(amount)","None","None","{""intent"":""Sum up all the payments ever made."",""tables"":""payments"",""columns"":""SUM(amount)"",""filters"":""None"",""joins"":""None""}"
44,"Average product price","Find the average buy price of all products.","products","AVG(buyPrice)","None","None","{""intent"":""Find the average buy price of all products."",""tables"":""products"",""columns"":""AVG(buyPrice)"",""filters"":""None"",""joins"":""None""}"
45,"Max payment amount","Find the highest payment amount.","payments","MAX(amount)","None","None","{""intent"":""Find the highest payment amount."",""tables"":""payments"",""columns"":""MAX(amount)"",""filters"":""None"",""joins"":""None""}"
46,"Min payment amount","Find the lowest payment amount.","payments","MIN(amount)","None","None","{""intent"":""Find the lowest payment amount."",""tables"":""payments"",""columns"":""MIN(amount)"",""filters"":""None"",""joins"":""None""}"
47,"Count total orders","Count the total number of orders.","orders","COUNT(*)","None","None","{""intent"":""Count the total number of orders."",""tables"":""orders"",""columns"":""COUNT(*)"",""filters"":""None"",""joins"":""None""}"
48,"Total quantity in stock","Sum up the total quantity in stock for everything.","products","SUM(quantityInStock)","None","None","{""intent"":""Sum up the total quantity in stock for everything."",""tables"":""products"",""columns"":""SUM(quantityInStock)"",""filters"":""None"",""joins"":""None""}"
49,"Average MSRP","Calculate the average MSRP for all products.","products","AVG(MSRP)","None","None","{""intent"":""Calculate the average MSRP for all products."",""tables"":""products"",""columns"":""AVG(MSRP)"",""filters"":""None"",""joins"":""None""}"
50,"Number of employees","Count the total number of employees.","employees","COUNT(*)","None","None","{""intent"":""Count the total number of employees."",""tables"":""employees"",""columns"":""COUNT(*)"",""filters"":""None"",""joins"":""None""}"
